BlockSize,k,Alpha,ClusteringTime,MiningTime,EncodingTime,CompressionTime,DecompressionTime,ClusterTableSize,CodeTableSize,EncodedImageSize,CompressedSize,ActualSize,JPEG Size,GIF Size,JPEG Cr,GIF Cr,Our Cr,CRP Actual,CRP JPEG,CRP GIF,PSNR,MSE,NormalisedCrossRelation,MaxDiff,AvgDiff,NormalisedAbsoluteError,StructuralContent
4.2.02.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,16,10,7.416246891,3.1895349026,2.1064281464,13.1751499176,0.6931581497,19.968,11.784,401.026,432.778,786.6,404,226.03,1.947029703,3.4800690174,1.8175600423,44.9811848462,-7.1232673267,-91.4692739902,45.4197820733,692.6666666667,1.34320667849524E-05,12,0.29296875,0.0021154569,1.0036054634
32,16,22,7.3803009987,2.4110889435,1.1174697876,11.3352429867,0.714247942,19.968,4.706,411.204,435.878,786.6,404,226.03,1.947029703,3.4800690174,1.8046334066,44.5870836512,-7.8905940594,-92.8407733487,45.4197820733,692.6666666667,1.34320667849524E-05,12,0.29296875,0.0021154569,1.0036054634
32,16,34,7.439863205,2.0829999447,1.032433033,10.974905014,0.7105197906,19.968,2.3355,436.714,459.0175,786.6,404,226.03,1.947029703,3.4800690174,1.7136601546,41.6453724892,-13.6181930693,-103.078131222,45.4197820733,692.6666666667,1.34320667849524E-05,12,0.29296875,0.0021154569,1.0036054634
32,16,46,7.4485180378,1.9717102051,1.0162100792,10.8703570366,0.699696064,19.968,1.6945,457.43,479.0925,786.6,404,226.03,1.947029703,3.4800690174,1.6418541305,39.0932494279,-18.5872524752,-111.959695616,45.4197820733,692.6666666667,1.34320667849524E-05,12,0.29296875,0.0021154569,1.0036054634
32,16,58,7.414014101,1.8775551319,0.9832220078,10.7264401913,0.6970348358,19.968,1.5336666667,451.235,472.736666667,786.6,404,226.03,1.947029703,3.4800690174,1.6639284732,39.9012628189,-17.0140264026,-109.147753248,45.4197820733,692.6666666667,1.34320667849524E-05,12,0.29296875,0.0021154569,1.0036054634
32,16,70,7.5090041161,1.9661209583,0.7824280262,10.7055411339,0.6941099167,19.968,1.1171666667,434.267,455.352166667,786.6,404,226.03,1.947029703,3.4800690174,1.7274541719,42.1113441817,-12.7109323432,-101.456517571,45.4197820733,692.6666666667,1.34320667849524E-05,12,0.29296875,0.0021154569,1.0036054634
32,16,82,7.4594891071,1.385944128,0.457420826,9.7338249683,0.7056589127,19.968,0.2983333333,419.354,439.620333333,786.6,404,226.03,1.947029703,3.4800690174,1.7892711969,44.1113229935,-8.8169141914,-94.4964532732,45.4197820733,692.6666666667,1.34320667849524E-05,12,0.29296875,0.0021154569,1.0036054634
32,16,94,7.4314529896,1.2015299797,0.2681450844,9.3108720779,0.7739801407,19.968,0.1475,418.492,438.6075,786.6,404,226.03,1.947029703,3.4800690174,1.7934029856,44.2400839054,-8.5662128713,-94.0483564129,45.4197820733,692.6666666667,1.34320667849524E-05,12,0.29296875,0.0021154569,1.0036054634
32,20,10,7.6553068161,3.0660750866,1.8712871075,13.0564072132,0.6935548782,24.96,10.0015,435.963,470.9245,786.6,404,226.03,1.947029703,3.4800690174,1.6703314438,40.1316425121,-16.565470297,-108.346016016,46.6307519775,613.6666666667,1.41782927174498E-05,12,0.3092447917,0.0022329823,1.0039393223
32,20,22,7.7067148686,2.5506708622,1.3842601776,12.0582969189,0.744658947,24.96,3.9895,457.817,486.7665,786.6,404,226.03,1.947029703,3.4800690174,1.6159698747,38.1176582761,-20.4867574257,-115.354820157,46.6307519775,613.6666666667,1.41782927174498E-05,12,0.3092447917,0.0022329823,1.0039393223
32,20,34,7.7048919201,2.2647509575,1.3638501167,11.7589299679,0.6896579266,24.96,2.6198333333,484.916,512.495833333,786.6,404,226.03,1.947029703,3.4800690174,1.5348417467,34.8467031104,-26.8554042904,-126.737969886,46.6307519775,613.6666666667,1.41782927174498E-05,12,0.3092447917,0.0022329823,1.0039393223
32,20,46,7.6913979054,2.1962602139,1.2627580166,11.5727791786,0.7487740517,24.96,2.2461666667,477.686,504.892166667,786.6,404,226.03,1.947029703,3.4800690174,1.5579564349,35.8133528265,-24.9733085809,-123.373962158,46.6307519775,613.6666666667,1.41782927174498E-05,12,0.3092447917,0.0022329823,1.0039393223
32,20,58,7.6159629822,2.1048350334,1.049642086,11.2138190269,0.6939320564,24.96,1.6155,465.21,491.7855,786.6,404,226.03,1.947029703,3.4800690174,1.5994778211,37.4795957285,-21.7290841584,-117.57532186,46.6307519775,613.6666666667,1.41782927174498E-05,12,0.3092447917,0.0022329823,1.0039393223
32,20,70,7.6380228996,1.6912200451,0.6887030602,10.4727270603,0.7518270016,24.96,0.7105,454.308,479.9785,786.6,404,226.03,1.947029703,3.4800690174,1.6388234056,38.9806127638,-18.8065594059,-112.351678981,46.6307519775,613.6666666667,1.41782927174498E-05,12,0.3092447917,0.0022329823,1.0039393223
32,20,82,7.6327488422,1.3673110008,0.3317499161,9.7602899075,0.7127940655,24.96,0.196,448.361,473.517,786.6,404,226.03,1.947029703,3.4800690174,1.6611863988,39.8020594966,-17.2071782178,-109.492987657,46.6307519775,613.6666666667,1.41782927174498E-05,12,0.3092447917,0.0022329823,1.0039393223
32,20,94,7.7280938625,1.4496471882,0.3335371017,9.987653017,0.7401690483,24.96,0.1766666667,452.256,477.392666667,786.6,404,226.03,1.947029703,3.4800690174,1.647700216,39.3093482499,-18.1665016502,-111.207656801,46.6307519775,613.6666666667,1.41782927174498E-05,12,0.3092447917,0.0022329823,1.0039393223
32,24,10,7.7468140125,3.2173399925,2.2061669827,13.6155099869,0.7087879181,29.952,10.5011666667,464.456,504.909166667,786.6,404,226.03,1.947029703,3.4800690174,1.5579039794,35.8111916264,-24.9775165017,-123.381483284,49.0251043666,483,1.19097658826578E-05,12,0.259765625,0.0018757052,1.0033978497
32,24,22,7.7823090553,2.6335289478,1.633256197,12.4928488731,0.6951270103,29.952,4.0968333333,501.773,535.821833333,786.6,404,226.03,1.947029703,3.4800690174,1.4680252858,31.8812823121,-32.6291666667,-137.05783893,49.0251043666,483,1.19097658826578E-05,12,0.259765625,0.0018757052,1.0033978497
32,24,34,7.8447878361,2.4346649647,1.537060976,12.2666628361,0.7024288177,29.952,3.2226666667,503.791,536.965666667,786.6,404,226.03,1.947029703,3.4800690174,1.4648981282,31.7358674464,-32.9122937294,-137.563892699,49.0251043666,483,1.19097658826578E-05,12,0.259765625,0.0018757052,1.0033978497
32,24,46,9.4952020645,2.6899731159,1.3834240437,14.1555490494,0.7129690647,29.952,2.4496666667,491.024,523.425666667,786.6,404,226.03,1.947029703,3.4800690174,1.5027921825,33.4571997627,-29.5608085809,-131.573537436,49.0251043666,483,1.19097658826578E-05,12,0.259765625,0.0018757052,1.0033978497
32,24,58,8.8218009472,2.2504589558,1.2528109551,12.8105268478,0.9253129959,29.952,1.4411666667,482.904,514.297166667,786.6,404,226.03,1.947029703,3.4800690174,1.5294659411,34.6177006526,-27.3012788779,-127.534914244,49.0251043666,483,1.19097658826578E-05,12,0.259765625,0.0018757052,1.0033978497
32,24,70,9.4006500244,1.7823259831,0.5443990231,12.1999800205,0.9072849751,29.952,0.3161666667,472.189,502.457166667,786.6,404,226.03,1.947029703,3.4800690174,1.5655065788,36.1229129587,-24.3705858086,-122.296671533,49.0251043666,483,1.19097658826578E-05,12,0.259765625,0.0018757052,1.0033978497
32,24,82,8.9201719761,1.7482979298,0.4337408543,11.604175806,0.7710969448,29.952,0.2295,472.057,502.2385,786.6,404,226.03,1.947029703,3.4800690174,1.5661881755,36.1507119247,-24.316460396,-122.199929213,49.0251043666,483,1.19097658826578E-05,12,0.259765625,0.0018757052,1.0033978497
32,24,94,8.8970379829,1.6486318111,0.3789601326,11.3896460533,0.7867109776,29.952,0.1806666667,481.596,511.728666667,786.6,404,226.03,1.947029703,3.4800690174,1.5371427306,34.9442325621,-26.6655115512,-126.398560663,49.0251043666,483,1.19097658826578E-05,12,0.259765625,0.0018757052,1.0033978497
32,28,10,8.9294998646,3.6248009205,2.5066201687,15.5697228909,0.8153970242,34.944,10.0116666667,491.975,536.930666667,786.6,404,226.03,1.947029703,3.4800690174,1.4649936181,31.740316976,-32.903630363,-137.548408028,50.0488484697,436,1.16411245469588E-05,12,0.25390625,0.001833396,1.0031560176
32,28,22,8.9765341282,3.5242650509,2.2316989899,15.1964521408,0.7250540257,34.944,4.797,526.957,566.698,786.6,404,226.03,1.947029703,3.4800690174,1.3880408966,27.9560132215,-40.2717821782,-150.718046277,50.0488484697,436,1.16411245469588E-05,12,0.25390625,0.001833396,1.0031560176
32,28,34,9.609803915,2.7884719372,1.5905508995,14.4165680408,0.6669638157,34.944,3.5791666667,516.839,555.362166667,786.6,404,226.03,1.947029703,3.4800690174,1.4163730395,29.3971311128,-37.4658828383,-145.702856553,50.0488484697,436,1.16411245469588E-05,12,0.25390625,0.001833396,1.0031560176
32,28,46,7.9121141434,2.4171731472,1.3612208366,12.1144411564,0.6765999794,34.944,2.2891666667,504.429,541.662166667,786.6,404,226.03,1.947029703,3.4800690174,1.4521966798,31.1388041359,-34.0747937294,-139.641714227,50.0488484697,436,1.16411245469588E-05,12,0.25390625,0.001833396,1.0031560176
