BlockSize,k,Alpha,ClusteringTime,MiningTime,EncodingTime,CompressionTime,DecompressionTime,ClusterTableSize,CodeTableSize,EncodedImageSize,CompressedSize,ActualSize,JPEG Size,GIF Size,JPEG Cr,GIF Cr,Our Cr,CRP Actual,CRP JPEG,CRP GIF,PSNR,MSE,NormalisedCrossRelation,MaxDiff,AvgDiff,NormalisedAbsoluteError,StructuralContent
baboon.tif
32,8,10,5.14184594154,2.45948195457,1.8496260643,9.87984991074,0.745375871658,9.216,17.6485,316.4,343.2645,786.6,548,255.64,1.43540145985,3.07698325771,2.29152737903,56.3609839817,37.3604927007,-34.2765216711,12.938910521061288,17900.222222222223,3.497854787819319e-05,33.0,0.49175347222222227,0.0044938323781194755,1.0100425102168742
32,8,22,5.54247808456,2.25146698952,1.1480588913,9.40817499161,0.854001998901,9.216,6.22216666667,343.266,358.704166667,786.6,548,255.64,1.43540145985,3.07698325771,2.19289340102,54.3981481481,34.5430352798,-40.3161346685,12.938910521061288,17900.222222222223,3.497854787819319e-05,33.0,0.49175347222222227,0.0044938323781194755,1.0100425102168742
32,8,34,7.59557509422,3.24211096764,1.16553688049,12.7798421383,0.937767982483,9.216,4.84033333333,355.417,369.473333333,786.6,548,255.64,1.43540145985,3.07698325771,2.12897638079,53.0290702602,32.5778588808,-44.5287644083,12.938910521061288,17900.222222222223,3.497854787819319e-05,33.0,0.49175347222222227,0.0044938323781194755,1.0100425102168742
32,8,46,6.55472588539,1.58009505272,0.605787992477,9.20780301094,0.787948131561,9.216,1.92716666667,337.089,348.232166667,786.6,548,255.64,1.43540145985,3.07698325771,2.25883785386,55.7294474108,36.4539841849,-36.2197491264,12.938910521061288,17900.222222222223,3.497854787819319e-05,33.0,0.49175347222222227,0.0044938323781194755,1.0100425102168742
32,8,58,6.62881588936,1.52472710609,0.504389047623,9.13643908501,0.832325935364,9.216,1.36466666667,327.212,337.792666667,786.6,548,255.64,1.43540145985,3.07698325771,2.32864735568,57.0566149674,38.3590024331,-32.1360767746,12.938910521061288,17900.222222222223,3.497854787819319e-05,33.0,0.49175347222222227,0.0044938323781194755,1.0100425102168742
32,8,70,6.75033593178,1.43553900719,0.418262004852,9.07981395721,0.820307016373,9.216,0.981166666667,335.088,345.285166667,786.6,548,255.64,1.43540145985,3.07698325771,2.27811697674,56.1040978049,36.9917579075,-35.0669561362,12.938910521061288,17900.222222222223,3.497854787819319e-05,33.0,0.49175347222222227,0.0044938323781194755,1.0100425102168742
32,8,82,6.69868302345,1.20216917992,0.429264783859,8.82953810692,0.820172071457,9.216,0.444333333333,362.888,372.548333333,786.6,548,255.64,1.43540145985,3.07698325771,2.11140388943,52.6381473006,32.0167274939,-45.7316278099,12.938910521061288,17900.222222222223,3.497854787819319e-05,33.0,0.49175347222222227,0.0044938323781194755,1.0100425102168742
32,8,94,6.73363399506,1.11586689949,0.436678171158,8.78970885277,0.789803981781,9.216,0.415833333333,382.613,392.244833333,786.6,548,255.64,1.43540145985,3.07698325771,2.0053801431,50.134142724,28.4224756691,-53.4364079695,12.938910521061288,17900.222222222223,3.497854787819319e-05,33.0,0.49175347222222227,0.0044938323781194755,1.0100425102168742
32,12,10,7.2652349472,2.92778086662,2.39396309853,13.1385550499,0.832373142242,13.824,18.0138333333,410.813,442.650833333,786.6,548,255.64,1.43540145985,3.07698325771,1.77702139195,43.726057293,19.2243004866,-73.1539795546,19.72401438087343,9064.0,2.9896181065153877e-05,29.333333333333332,0.42534722222222227,0.003860224983379982,1.0081363855117669
32,12,22,7.23462581635,2.07219386101,1.08917498589,10.9242479801,0.803339958191,13.824,4.62383333333,389.363,407.810833333,786.6,548,255.64,1.43540145985,3.07698325771,1.92883546906,48.1552462073,25.5819647202,-59.52543942,19.72401438087343,9064.0,2.9896181065153877e-05,29.333333333333332,0.42534722222222227,0.003860224983379982,1.0081363855117669
32,12,34,7.29631614685,1.86884498596,0.815402984619,10.491959095,0.776929140091,13.824,2.69066666667,389.632,406.146666667,786.6,548,255.64,1.43540145985,3.07698325771,1.93673878074,48.3668107467,25.8856447689,-58.8744588745,19.72401438087343,9064.0,2.9896181065153877e-05,29.333333333333332,0.42534722222222227,0.003860224983379982,1.0081363855117669
32,12,46,7.18210196495,1.73098182678,0.732749938965,10.129971981,0.805954933167,13.824,1.40466666667,397.932,413.160666667,786.6,548,255.64,1.43540145985,3.07698325771,1.90385983822,47.4751250106,24.6057177616,-61.6181609555,19.72401438087343,9064.0,2.9896181065153877e-05,29.333333333333332,0.42534722222222227,0.003860224983379982,1.0081363855117669
32,12,58,7.14973807335,1.64508986473,0.706528186798,9.99739813805,0.795350074768,13.824,1.01016666667,431.5,446.334166667,786.6,548,255.64,1.43540145985,3.07698325771,1.76235667969,43.257797271,18.5521593674,-74.5948078026,19.72401438087343,9064.0,2.9896181065153877e-05,29.333333333333332,0.42534722222222227,0.003860224983379982,1.0081363855117669
32,12,70,7.24847221375,1.62795710564,0.702970027924,10.0893199444,0.817838907242,13.824,0.998,431.186,446.008,786.6,548,255.64,1.43540145985,3.07698325771,1.76364549515,43.2992626494,18.6116788321,-74.4672195275,19.72401438087343,9064.0,2.9896181065153877e-05,29.333333333333332,0.42534722222222227,0.003860224983379982,1.0081363855117669
32,12,82,7.16317081451,1.48480701447,0.662334918976,9.87670683861,0.767296791077,13.824,0.8825,431.83,446.5365,786.6,548,255.64,1.43540145985,3.07698325771,1.76155812571,43.2320747521,18.5152372263,-74.6739555625,19.72401438087343,9064.0,2.9896181065153877e-05,29.333333333333332,0.42534722222222227,0.003860224983379982,1.0081363855117669
32,12,94,7.31663417816,1.13749790192,0.451959133148,9.440939188,0.816883087158,13.824,0.339333333333,404.251,418.414333333,786.6,548,255.64,1.43540145985,3.07698325771,1.87995471793,46.8072294262,23.6470194647,-63.6732644865,19.72401438087343,9064.0,2.9896181065153877e-05,29.333333333333332,0.42534722222222227,0.003860224983379982,1.0081363855117669
32,16,10,7.78562498093,3.31909203529,2.81585001945,14.4508728981,0.768934011459,19.968,17.6848333333,434.018,471.670833333,786.6,548,255.64,1.43540145985,3.07698325771,1.66768844798,40.03676159,13.9286800487,-84.5058806655,25.004822877983326,5337.444444444444,2.5435855511069097e-05,25.666666666666668,0.35915798611111116,0.003272565031215088,1.0067605323013382
32,16,22,7.71708202362,2.365888834,1.20087909698,11.8167228699,0.782708883286,19.968,4.41883333333,429.98,454.366833333,786.6,548,255.64,1.43540145985,3.07698325771,1.73120030401,42.2366090347,17.0863442822,-77.7369869087,25.004822877983326,5337.444444444444,2.5435855511069097e-05,25.666666666666668,0.35915798611111116,0.003272565031215088,1.0067605323013382
32,16,34,7.70819807053,2.00995588303,1.015198946,11.2504661083,0.806886911392,19.968,1.89,459.579,481.437,786.6,548,255.64,1.43540145985,3.07698325771,1.63385863571,38.795194508,12.1465328467,-88.32616179,25.004822877983326,5337.444444444444,2.5435855511069097e-05,25.666666666666668,0.35915798611111116,0.003272565031215088,1.0067605323013382
32,16,46,7.6888551712,2.19366383553,0.999739170074,11.3966782093,0.764419078827,19.968,1.70383333333,468.134,489.805833333,786.6,548,255.64,1.43540145985,3.07698325771,1.60594249082,37.7312695991,10.6193734793,-91.5998409221,25.004822877983326,5337.444444444444,2.5435855511069097e-05,25.666666666666668,0.35915798611111116,0.003272565031215088,1.0067605323013382
32,16,58,7.65550994873,1.95620298386,1.00760316849,11.1129260063,0.748167037964,19.968,1.6165,465.044,486.6285,786.6,548,255.64,1.43540145985,3.07698325771,1.61642813769,38.1352021358,11.1991788321,-90.3569472696,25.004822877983326,5337.444444444444,2.5435855511069097e-05,25.666666666666668,0.35915798611111116,0.003272565031215088,1.0067605323013382
32,16,70,7.66816592216,1.96184396744,0.968069076538,11.1123878956,0.766428947449,19.968,1.47333333333,467.595,489.036333333,786.6,548,255.64,1.43540145985,3.07698325771,1.60846944569,37.8290956861,10.7597931873,-91.2988316904,25.004822877983326,5337.444444444444,2.5435855511069097e-05,25.666666666666668,0.35915798611111116,0.003272565031215088,1.0067605323013382
32,16,82,7.71970796585,1.66143393517,0.760036945343,10.6217401028,0.759620904922,19.968,0.912833333333,449.174,470.054833333,786.6,548,255.64,1.43540145985,3.07698325771,1.67342178873,40.242202729,14.2235705596,-83.8737417201,25.004822877983326,5337.444444444444,2.5435855511069097e-05,25.666666666666668,0.35915798611111116,0.003272565031215088,1.0067605323013382
32,16,94,7.73896002769,1.2054169178,0.295160055161,9.71445202827,0.804679870605,19.968,0.142166666667,435.153,455.263166667,786.6,548,255.64,1.43540145985,3.07698325771,1.72779187422,42.1226586999,16.9227798054,-78.087610181,25.004822877983326,5337.444444444444,2.5435855511069097e-05,25.666666666666668,0.35915798611111116,0.003272565031215088,1.0067605323013382
32,20,10,7.83175516129,3.25021409988,2.06712198257,13.7178430557,0.788605928421,24.96,9.70533333333,456.068,490.733333333,786.6,548,255.64,1.43540145985,3.07698325771,1.60290721369,37.6133570642,10.4501216545,-91.9626558181,28.796305089900226,3661.3333333333335,2.9080136216067708e-05,26.0,0.41059027777777785,0.0037424516800643576,1.0071122140645403
32,20,22,8.00372099876,2.30607390404,1.46209311485,12.2789919376,0.836040973663,24.96,3.228,479.179,507.367,786.6,548,255.64,1.43540145985,3.07698325771,1.55035703938,35.4987287058,7.4147810219,-98.4693318729,28.796305089900226,3661.3333333333335,2.9080136216067708e-05,26.0,0.41059027777777785,0.0037424516800643576,1.0071122140645403
32,20,34,7.9804930687,2.34879493713,1.40406894684,12.2557718754,0.804155826569,24.96,2.64083333333,493.401,521.001833333,786.6,548,255.64,1.43540145985,3.07698325771,1.50978355482,33.7653402831,4.92667274939,-103.802939029,28.796305089900226,3661.3333333333335,2.9080136216067708e-05,26.0,0.41059027777777785,0.0037424516800643576,1.0071122140645403
32,20,46,7.94179487228,2.29967308044,1.29810404778,12.0283617973,0.818249940872,24.96,2.42016666667,490.548,517.928166667,786.6,548,255.64,1.43540145985,3.07698325771,1.51874342935,34.1560937368,5.48756082725,-102.600597194,28.796305089900226,3661.3333333333335,2.9080136216067708e-05,26.0,0.41059027777777785,0.0037424516800643576,1.0071122140645403
32,20,58,7.99696493149,2.25624108315,1.19042301178,11.9637010098,0.762245178223,24.96,2.18266666667,491.242,518.384666667,786.6,548,255.64,1.43540145985,3.07698325771,1.51740599323,34.0980591576,5.40425790754,-102.779168623,28.796305089900226,3661.3333333333335,2.9080136216067708e-05,26.0,0.41059027777777785,0.0037424516800643576,1.0071122140645403
32,20,70,8.07669401169,1.98306393623,1.01749706268,11.5877799988,0.790719032288,24.96,1.41516666667,476.944,503.319166667,786.6,548,255.64,1.43540145985,3.07698325771,1.56282544376,36.0133274006,8.15343673966,-96.8859203046,28.796305089900226,3661.3333333333335,2.9080136216067708e-05,26.0,0.41059027777777785,0.0037424516800643576,1.0071122140645403
32,20,82,8.03214597702,1.44950914383,0.365132808685,10.3480279446,0.833209037781,24.96,0.241666666667,465.143,490.344666667,786.6,548,255.64,1.43540145985,3.07698325771,1.60417774164,37.6627680312,10.5210462287,-91.8106190998,28.796305089900226,3661.3333333333335,2.9080136216067708e-05,26.0,0.41059027777777785,0.0037424516800643576,1.0071122140645403
32,20,94,8.02177500725,1.27333903313,0.372750043869,10.1841619015,0.771055936813,24.96,0.151833333333,469.016,494.127833333,786.6,548,255.64,1.43540145985,3.07698325771,1.59189575437,37.1818162556,9.83068734793,-93.290499661,28.796305089900226,3661.3333333333335,2.9080136216067708e-05,26.0,0.41059027777777785,0.0037424516800643576,1.0071122140645403
32,24,10,8.27210783958,3.34120512009,2.10748505592,14.2296788692,0.80884718895,29.952,8.83216666667,481.555,520.339166667,786.6,548,255.64,1.43540145985,3.07698325771,1.51170630694,33.8495847106,5.0475973236,-103.543720336,34.19903791935554,2156.222222222222,2.9834049743627226e-05,23.0,0.4227430555555556,0.0038462696348996253,1.0071834172248009
32,24,22,8.37192082405,2.63184595108,1.73570299149,13.2286469936,0.81441283226,29.952,3.819,513.288,547.059,786.6,548,255.64,1.43540145985,3.07698325771,1.43787050391,30.4527078566,0.171715328467,-113.995853544,34.19903791935554,2156.222222222222,2.9834049743627226e-05,23.0,0.4227430555555556,0.0038462696348996253,1.0071834172248009
